Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Blueberries,42727440.18,37552582.59,-0.1211,3.7752,4.93,0.3059,51956253.83,48898181.39,-0.0589,3.1047,3.7861,0.2195,161306397.2,185132489.9,0.1477
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Raspberries,10737637.39,10504627.37,-0.0217,7.9367,8.4782,0.0682,24448225.2,23363291.32,-0.0444,3.4858,3.812,0.0936,85221315.71,89060450.73,0.045
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Strawberries,106857346.0,98236291.18,-0.0807,2.8218,3.3178,0.1758,97699237.87,89903143.91,-0.0798,3.0863,3.6253,0.1747,301527391.7,325929881.4,0.0809
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Apples,203239536.3,207509636.4,0.021,1.6102,1.7012,0.0565,98372833.02,97867882.86,-0.0051,3.3267,3.6071,0.0843,327259943.9,353016639.0,0.0787
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Apricots,19721.6446,33776.8466,0.7127,4.2258,4.0581,-0.0397,26158.4755,42966.8997,0.6426,3.186,3.1902,0.0013,83339.8368,137071.3949,0.6447
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Avocados,81426953.93,101638112.1,0.2482,2.2723,1.929,-0.1511,107321011.9,129837461.9,0.2098,1.724,1.51,-0.1241,185023292.3,196057121.2,0.0596
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Bananas,483210051.7,487558659.9,0.009,0.5361,0.5489,0.0239,246208235.9,248786987.0,0.0105,1.0521,1.0757,0.0224,259040107.1,267621327.6,0.0331
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Cherries,1093470.903,2256183.378,1.0633,5.8477,5.4426,-0.0693,930511.6121,1908403.864,1.0509,6.8718,6.4345,-0.0636,6394249.769,12279575.15,0.9204
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Coconuts,583387.7756,720282.0047,0.2347,2.053,2.0905,0.0183,474625.5001,596543.1158,0.2569,2.5235,2.5241,0.0003,1197708.855,1505748.551,0.2572
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Dates,32162.6529,4965.5008,-0.8456,6.8198,8.0117,0.1748,47939.9771,7711.2635,-0.8391,4.5754,5.1589,0.1276,219342.5732,39782.0059,-0.8186
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Grapefruit,18958094.7,20758238.67,0.095,1.1031,1.1584,0.0502,8455502.54,7926227.14,-0.0626,2.4732,3.0338,0.2267,20912373.53,24046968.44,0.1499
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Grapes,124307072.8,140197029.0,0.1278,2.0844,1.9591,-0.0601,65846843.57,73498518.39,0.1162,3.935,3.737,-0.0503,259108367.2,274660597.2,0.06
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Kiwi,6418942.693,6986261.937,0.0884,2.2456,2.3664,0.0538,5670384.233,6069933.621,0.0705,2.542,2.7237,0.0715,14414269.73,16532527.5,0.147
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Lemons,28245479.32,35049014.27,0.2409,1.9074,1.9069,-0.0002,31653483.81,38505835.72,0.2165,1.702,1.7357,0.0198,53874140.11,66834464.09,0.2406
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Limes,22834072.45,29185541.76,0.2782,1.5703,1.6447,0.0474,25598812.4,33345963.86,0.3026,1.4007,1.4395,0.0277,35855370.91,48000657.12,0.3387
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Mangoes,19519805.03,17525774.78,-0.1022,1.6332,1.8058,0.1057,19068912.36,16403795.49,-0.1398,1.6718,1.9293,0.154,31880127.41,31647506.33,-0.0073
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Melons,94909827.72,86311011.55,-0.0906,1.0457,1.2897,0.2333,27925316.94,27315889.21,-0.0218,3.554,4.075,0.1466,99245731.88,111311235.0,0.1216
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Nectarines,5315114.036,4639852.419,-0.127,2.1727,2.2597,0.0401,3546302.873,3018326.577,-0.1489,3.2563,3.4736,0.0667,11547965.31,10484593.75,-0.0921
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Oranges,98435593.46,108113770.6,0.0983,1.1046,1.2037,0.0897,35803392.75,39000239.42,0.0893,3.0369,3.3369,0.0988,108732231.7,130140007.2,0.1969
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Other,2455351.995,2382764.897,-0.0296,3.4558,4.0271,0.1653,2511623.376,2590888.483,0.0316,3.3784,3.7036,0.0963,8485150.184,9595648.232,0.1309
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Papaya,5486099.014,6807319.639,0.2408,1.3079,1.3197,0.009,2288232.152,2986368.713,0.3051,3.1358,3.0082,-0.0407,7175399.146,8983470.807,0.252
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Peaches,4588656.75,4502777.979,-0.0187,2.5323,2.6127,0.0317,3293194.881,3246004.632,-0.0143,3.5285,3.6243,0.0271,11620068.11,11764358.16,0.0124
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Pears,20702299.62,25710457.15,0.2419,1.6605,1.6639,0.0021,12272368.27,14189429.07,0.1562,2.8011,3.0149,0.0763,34375779.74,42779277.3,0.2445
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Pineapple,46252292.6,55558471.46,0.2012,1.2601,1.1601,-0.0794,18517412.83,21738993.83,0.174,3.1474,2.9648,-0.058,58282014.73,64451256.16,0.1059
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Plums,3730696.039,3790755.223,0.0161,2.385,2.4387,0.0225,3011370.562,3054354.55,0.0143,2.9547,3.0267,0.0244,8897631.483,9244533.552,0.039
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Pomegranates,372896.3822,1075344.29,1.8838,9.2442,5.4873,-0.4064,756758.9758,1538770.017,1.0334,4.5551,3.8347,-0.1582,3447141.187,5900716.846,0.7118
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Tangelos,2491617.15,2414245.671,-0.0311,1.49,1.4995,0.0063,1864702.035,1691294.762,-0.093,1.991,2.1404,0.075,3712593.161,3620046.587,-0.0249
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Tangerines,133226025.9,148095647.5,0.1116,1.3556,1.3837,0.0207,43417536.73,47621576.62,0.0968,4.1595,4.303,0.0345,180597042.8,204913908.3,0.1346
Produce,Last 04 Wks,2.0,2020/03/01,2021/02/28,Total U.S.,Variety,13848171.37,13936449.12,0.0064,4.1802,4.2838,0.0248,11264004.48,11548626.32,0.0253,5.1392,5.1695,0.0059,57888107.87,59700809.04,0.0313
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Total Store with Perimeter,0.0,0.0,0.0,0.0,0.0,0.0,24922874596.0,19638078243.0,-0.212,3.4973,3.6808,0.0525,87162299448.0,72284212631.0,-0.1707
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Produce Department,3834747547.0,3322915610.0,-0.1335,1.5602,1.6945,0.0861,2642854216.0,2433036586.0,-0.0794,2.2638,2.3143,0.0223,5982989128.0,5630763711.0,-0.0589
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Vegetable Aisle,1914260362.0,1585899676.0,-0.1715,1.6494,1.7991,0.0908,1501394245.0,1349754168.0,-0.101,2.103,2.1139,0.0052,3157396232.0,2853270941.0,-0.0963
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Fruit Aisle,1892178409.0,1708995459.0,-0.0968,1.4525,1.5744,0.0839,1092959932.0,1030246756.0,-0.0574,2.5146,2.6116,0.0386,2748336115.0,2690566145.0,-0.021
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Blackberries,10692905.54,7341261.826,-0.3134,6.1305,7.7959,0.2717,24084644.36,16248074.93,-0.3254,2.7218,3.5224,0.2942,65552535.1,57231964.85,-0.1269
Produce,Last 04 Wks,3.0,2020/03/29,2021/03/28,Total U.S.,Blueberries,25689856.96,35723577.86,0.3906,6.3361,5.4472,-0.1403,39029184.03,48286070.94,0.2372,4.1706,4.03,-0.0337,162773246.5,194593481.8,0.1955
