Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Total Store with Perimeter,0,0,0,0,0,0,19494189997,18436676904,-0.0542,3.9042,4.3793,0.1217,76110148890,80739719046,0.0608
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Produce Department,3241480858,3154632262,-0.0268,1.8355,1.9452,0.0597,2400210531,2365446738,-0.0145,2.4789,2.5941,0.0465,5949805710,6136268493,0.0313
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Vegetable Aisle,1593138221,1538526027,-0.0343,1.888,2.0615,0.0919,1343971475,1303493590,-0.0301,2.238,2.4332,0.0872,3007805303,3171621825,0.0545
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Fruit Aisle,1619074547,1584939341,-0.0211,1.7604,1.805,0.0253,999955338.1,1002911089,0.003,2.8503,2.8525,0.0008,2850196971,2860766207,0.0037
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Blackberries,10799232.16,11686025.73,0.0821,6.9485,6.5558,-0.0565,23642596.7,25780867.79,0.0904,3.1739,2.9716,-0.0637,75039003.7,76611691.25,0.021
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Blueberries,37093643.27,44716423.68,0.2055,4.8749,4.6734,-0.0413,47943942.98,55938405.52,0.1667,3.7717,3.7359,-0.0095,180828779,208979025.5,0.1557
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Raspberries,13118126.89,11750343.33,-0.1043,8.0968,8.2938,0.0243,29477129.5,26175086.7,-0.112,3.6033,3.7232,0.0333,106215093.6,97454455.33,-0.0825
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Strawberries,90526819.83,76672598.09,-0.153,3.5164,3.9498,0.1232,81370347.14,69404016.24,-0.1471,3.9121,4.3634,0.1154,318330209.9,302840519.4,-0.0487
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Apples,215463691.2,203677517.1,-0.0547,1.8368,1.9242,0.0476,102359631,95819929.68,-0.0639,3.8663,4.0902,0.0579,395755979,391918871.9,-0.0097
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Apricots,100143.9586,145942.5971,0.4573,3.9779,3.5644,-0.1039,97999.5486,115953.1562,0.1832,4.0649,4.4863,0.1037,398362.1477,520201.7216,0.3059
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Avocados,86757932.72,91302631.66,0.0524,2.6041,2.1469,-0.1755,105675105.7,113502104.7,0.0741,2.1379,1.727,-0.1922,225923266.5,196021954.6,-0.1324
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Bananas,470053381.9,464307912.9,-0.0122,0.5735,0.5892,0.0273,248892839.7,250026983.1,0.0046,1.0831,1.0941,0.0101,269586328,273555862.7,0.0147
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Cherries,7534298.571,12337482.91,0.6375,4.5755,4.3882,-0.0409,6292961.45,10166041.43,0.6155,5.4781,5.3255,-0.0279,34473340.87,54139176.6,0.5705
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Coconuts,679061.5525,827645.7465,0.2188,2.242,2.2461,0.0018,555246.8225,671489.6368,0.2094,2.742,2.7684,0.0096,1522467.511,1858952.446,0.221
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Dates,6129.1062,4061.2895,-0.3374,8.18,8.845,0.0813,9425.8255,5791.1761,-0.3856,5.319,6.2029,0.1662,50135.9086,35922.2147,-0.2835
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Grapefruit,18354515.04,16035859.77,-0.1263,1.3949,1.3967,0.0013,7256784.986,6307413.656,-0.1308,3.5281,3.5509,0.0065,25602540.53,22396910.75,-0.1252
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Grapes,120208073.6,132211530.4,0.0999,2.3167,2.378,0.0265,62492370.24,72062226.97,0.1531,4.4563,4.3629,-0.021,278486819.1,314401339,0.129
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Kiwi,8577573.804,7626448.753,-0.1109,2.6025,3.0202,0.1605,6739157.291,6063542.791,-0.1003,3.3124,3.7987,0.1468,22322736.96,23033466.52,0.0318
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Lemons,37331374.68,34494582.22,-0.076,1.9771,1.9942,0.0086,40666508.89,37046498.24,-0.089,1.815,1.8568,0.023,73808730.06,68787689.56,-0.068
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Limes,28537349.44,28451812.76,-0.003,1.9171,1.8215,-0.0499,33954321.67,36341979.86,0.0703,1.6113,1.426,-0.115,54709906.76,51824188.93,-0.0527
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Mangoes,18053125.7,23183123.38,0.2842,1.8313,1.6806,-0.0823,17617949.37,22430048.04,0.2731,1.8765,1.737,-0.0744,33060343.93,38960703.34,0.1785
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Melons,95444953.85,89514562.44,-0.0621,1.4583,1.6183,0.1097,33959430.86,32970218.22,-0.0291,4.0987,4.3937,0.072,139189147.2,144861446.5,0.0408
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Nectarines,2012918.837,2420779.796,0.2026,2.548,2.6414,0.0367,1367883.898,1652138.097,0.2078,3.7496,3.8703,0.0322,5129017.135,6394340.556,0.2467
Produce,Last 04 Wks,1,2022/01/30,2023/01/29,Total U.S.,Oranges,123347193.5,105896024.9,-0.1415,1.302,1.34,0.0292,43883321.66,37409087.64,-0.1475,3.6597,3.7932,0.0365,160601523.3,141899819.2,-0.1164
