Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Mangoes,14313376.42,12872080.47,-0.1007,1.8587,2.0671,0.1121,13984832.86,12962858.16,-0.0731,1.9023,2.0526,0.079,26603782.97,26607672.49,0.0001
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Melons,116003558.6,121888211.9,0.0507,1.126,1.2948,0.15,32643144.42,37033822.05,0.1345,4.0013,4.2616,0.0651,130616442.9,157824566,0.2083
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Nectarines,211167.9472,2113050.542,9.0065,2.1863,2.1752,-0.0051,159911.8082,1616639.516,9.1096,2.8871,2.8431,-0.0152,461676.8045,4596283.899,8.9556
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Oranges,46081415.78,45942062.64,-0.003,1.4335,1.5011,0.0472,19504507.05,20331498.51,0.0424,3.3868,3.392,0.0015,66057719.22,68963724.87,0.044
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Other,3263675.411,4015946.008,0.2305,3.1367,3.4309,0.0938,3904194.506,4726251.915,0.2106,2.6221,2.9153,0.1118,10237065.88,13778496.64,0.3459
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Papaya,5299082.334,5452586.315,0.029,1.3845,1.3277,-0.0411,2302421.183,2558123.538,0.1111,3.1864,2.8299,-0.1119,7336528.716,7239150.107,-0.0133
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Peaches,19643784.79,18890275.29,-0.0384,1.6722,1.908,0.141,12551854.02,12051605.74,-0.0399,2.617,2.9908,0.1428,32848015.9,36043464.04,0.0973
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Pears,28691997.15,30646075.24,0.0681,1.6084,1.6796,0.0443,16498167.31,17765410.29,0.0768,2.7971,2.8974,0.0359,46147352.69,51474244.54,0.1154
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Pineapple,47887492.3,51291588.69,0.0711,1.297,1.297,0,19667710.67,22189143.14,0.1282,3.1579,2.9981,-0.0506,62109259.81,66525375.8,0.0711
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Plums,8285859.793,9044364.462,0.0915,1.9024,1.9165,0.0074,5938020.192,6021506.534,0.0141,2.6546,2.8786,0.0844,15763349.11,17333546.49,0.0996
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Pomegranates,8190758.044,8685670.793,0.0604,2.2285,2.4653,0.1063,8166510.538,8845460.973,0.0831,2.2351,2.4208,0.0831,18253016.87,21413180.7,0.1731
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Rhubarb,12900,1300,-0.8992,0.1863,0.1628,-0.1263,645,65,-0.8992,3.7262,3.2555,-0.1263,2403.4,211.61,-0.912
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Tangelos,84324.4038,278324.9989,2.3006,1.8653,1.928,0.0336,54727.5355,180747.445,2.3027,2.8741,2.9688,0.0329,157293.1257,536604.2241,2.4115
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Tangerines,88033974.22,84859926.34,-0.0361,1.482,1.5404,0.0394,29752456.7,27094272.83,-0.0893,4.3851,4.8245,0.1002,130467872.5,130715068.4,0.0019
Produce,Last 04 Wks,11,2020/11/08,2021/11/07,Total U.S.,Variety,13283632.02,15723924.15,0.1837,4.0953,4.4038,0.0753,11027424.73,13269337.42,0.2033,4.9332,5.2184,0.0578,54400701.67,69244600.74,0.2729
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Total Store with Perimeter,0,0,0,0,0,0,20741155886,20137380655,-0.0291,3.5793,3.8593,0.0782,74238112977,77715994313,0.0468
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Produce Department,3335742052,3242258951,-0.028,1.5696,1.712,0.0907,2364898452,2325257220,-0.0168,2.214,2.3872,0.0782,5235777636,5550797161,0.0602
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Vegetable Aisle,1784672885,1708946412,-0.0424,1.5985,1.7003,0.0637,1375187045,1327161416,-0.0349,2.0745,2.1894,0.0554,2852793054,2905730131,0.0186
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Fruit Aisle,1521875606,1505095647,-0.011,1.4968,1.6813,0.1233,927428972.7,935682727.9,0.0089,2.4562,2.7045,0.1011,2277958236,2530529436,0.1109
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Blackberries,7638554.671,7873176.398,0.0307,6.0724,6.7436,0.1105,17514519.28,17289109.43,-0.0129,2.6483,3.0709,0.1596,46384337.59,53093610.99,0.1446
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Blueberries,32372105.47,39052669.32,0.2064,5.0845,4.5682,-0.1015,44616506.21,50368275.3,0.1289,3.6891,3.5419,-0.0399,164596038.5,178399268.3,0.0839
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Raspberries,13126810.03,12416308.76,-0.0541,6.0718,7.1773,0.1821,30754647,28556266.48,-0.0715,2.5916,3.1207,0.2042,79704020.84,89115958.22,0.1181
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Strawberries,48632786.07,54611596.47,0.1229,3.9399,4.2818,0.0868,43939607.57,48956903.34,0.1142,4.3607,4.7763,0.0953,191608038.3,233833586,0.2204
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Apples,222649817.8,215014308.4,-0.0343,1.5925,1.7845,0.1206,104235587.9,102544403.6,-0.0162,3.4017,3.7417,0.1,354575332.2,383695391.8,0.0821
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Apricots,20270.7408,21911.038,0.0809,4.4337,4.3556,-0.0176,25627.1552,28030.7888,0.0938,3.507,3.4047,-0.0292,89875.0164,95435.5984,0.0619
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Avocados,77261527.93,72705526.01,-0.059,2.0417,2.4487,0.1994,94700064.94,88782237.47,-0.0625,1.6657,2.0053,0.2039,157743105.7,178037399.8,0.1287
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Bananas,454864570,441272390.9,-0.0299,0.5242,0.5597,0.0677,232021472.2,232450199.9,0.0018,1.0278,1.0626,0.0339,238461433.4,246996633,0.0358
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Cherries,740117.5135,649687.2348,-0.1222,6.3582,6.4775,0.0188,625740.6308,547250.7571,-0.1254,7.5203,7.69,0.0226,4705778.651,4208332.102,-0.1057
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Coconuts,693313.5973,660961.1355,-0.0467,2.0456,2.175,0.0632,570742.7703,540265.7145,-0.0534,2.485,2.6609,0.0708,1418276.871,1437573.726,0.0136
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Dates,6492.3263,8192.1323,0.2618,8.0994,8.0265,-0.009,10362.9269,12769.7114,0.2322,5.0743,5.1492,0.0148,52584.1299,65753.7709,0.2504
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Grapefruit,14422829.42,9704498.091,-0.3271,1.2512,1.5253,0.219,5982845.267,4263302.3,-0.2874,3.0163,3.472,0.1511,18046312.63,14802388.62,-0.1798
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Grapes,157002813.8,157837004.6,0.0053,1.7355,1.9554,0.1267,85580785.49,83226456.96,-0.0275,3.1838,3.7084,0.1647,272474746.2,308633807,0.1327
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Kiwi,6538535.597,7475833.429,0.1433,2.4181,2.7339,0.1306,5426565.905,6044882.627,0.1139,2.9136,3.3811,0.1605,15810950.1,20438497.12,0.2927
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Lemons,32748385.61,33264005.73,0.0157,1.9321,1.9831,0.0264,36839553.98,37533275.53,0.0188,1.7176,1.7575,0.0233,63274752.41,65966258.41,0.0425
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Limes,27742027.36,26687091.19,-0.038,1.5308,1.6468,0.0758,31500867.94,31950170.26,0.0143,1.3481,1.3755,0.0203,42466489.25,43947668.4,0.0349
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Mangoes,14673187.54,14526425.06,-0.01,1.7906,1.9558,0.0922,14077446.69,14769715.94,0.0492,1.8664,1.9236,0.0306,26274389.39,28410768.47,0.0813
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Melons,82223484.46,87493219.43,0.0641,1.2599,1.4535,0.1536,26451040,29481683.96,0.1146,3.9165,4.3136,0.1014,103595863.6,127170751.3,0.2276
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Nectarines,37072.267,55914.1663,0.5082,2.7669,2.2768,-0.1771,30636.2183,41364.943,0.3502,3.3482,3.0777,-0.0808,102575.2999,127307.4633,0.2411
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Oranges,74399441.2,70575670.58,-0.0514,1.2327,1.3342,0.0823,29432461.28,30360825.94,0.0315,3.1161,3.1013,-0.0047,91713369.16,94159529.85,0.0267
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Other,3501808.867,4447833.081,0.2702,2.9565,3.2914,0.1133,3711732.025,4751806.991,0.2802,2.7893,3.0808,0.1045,10353086.43,14639437.39,0.414
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Papaya,4932335.384,5276661.122,0.0698,1.3969,1.34,-0.0407,2174107.991,2474656.859,0.1382,3.1691,2.8573,-0.0984,6890069.674,7070919.115,0.0262
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Peaches,1514609.821,1379687.707,-0.0891,1.6108,2.0805,0.2916,1085844.32,1041801.403,-0.0406,2.2468,2.7552,0.2263,2439677.486,2870422.762,0.1766
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Pears,27307303.88,28473375.11,0.0427,1.6427,1.7428,0.0609,15556491.45,16435110.65,0.0565,2.8835,3.0193,0.0471,44857815.61,49622940.76,0.1062
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Pineapple,59665007.57,59427447.58,-0.004,0.986,1.0878,0.1032,21487045.1,22917990.91,0.0666,2.7379,2.8206,0.0302,58828796.5,64642771.03,0.0988
Produce,Last 04 Wks,12,2020/12/06,2021/12/05,Total U.S.,Plums,2688994.871,4325263.344,0.6085,1.9877,1.9732,-0.0073,1772868.075,2694534.969,0.5199,3.0149,3.1673,0.0506,5344932.043,8534443.375,0.5967
