Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Total Store with Perimeter,0,0,0,0,0,0,19920878365,19494189997,-0.0214,3.5718,3.9042,0.0931,71153824858,76110148890,0.0697
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Produce Department,3313058947,3241480858,-0.0216,1.6978,1.8355,0.0811,2463539825,2400210531,-0.0257,2.2833,2.4789,0.0857,5624924320,5949805710,0.0578
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Vegetable Aisle,1638973842,1593138221,-0.028,1.8203,1.888,0.0372,1399323738,1343971475,-0.0396,2.132,2.238,0.0497,2983380208,3007805303,0.0082
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Fruit Aisle,1644392615,1619074547,-0.0154,1.5524,1.7604,0.134,1008258678,999955338.1,-0.0082,2.5318,2.8503,0.1258,2552725898,2850196971,0.1165
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Blackberries,9613482.315,10799232.16,0.1233,6.5588,6.9485,0.0594,21511594.64,23642596.7,0.0991,2.9311,3.1739,0.0828,63052551.38,75039003.7,0.1901
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Blueberries,42620129.93,37093643.27,-0.1297,4.2229,4.8749,0.1544,55780887.28,47943942.98,-0.1405,3.2266,3.7717,0.1689,179981941.7,180828779,0.0047
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Raspberries,13024134.32,13118126.89,0.0072,7.3833,8.0968,0.0966,29685725.77,29477129.5,-0.007,3.2393,3.6033,0.1124,96161125.03,106215093.6,0.1046
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Strawberries,77409048.31,90526819.83,0.1695,3.293,3.5164,0.0679,70335752.99,81370347.14,0.1569,3.6241,3.9121,0.0795,254904609.2,318330209.9,0.2488
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Apples,221042629.5,215463691.2,-0.0252,1.6446,1.8368,0.1169,103935417.6,102359631,-0.0152,3.4975,3.8663,0.1054,363517451.6,395755979,0.0887
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Apricots,187780.4466,100143.9586,-0.4667,3.3362,3.9779,0.1923,167121.3188,97999.5486,-0.4136,3.7486,4.0649,0.0844,626473.6832,398362.1477,-0.3641
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Avocados,98966412.91,86757932.72,-0.1234,1.9907,2.6041,0.3081,124320632.8,105675105.7,-0.15,1.5847,2.1379,0.349,197016931.6,225923266.5,0.1467
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Bananas,487614943.7,470053381.9,-0.036,0.5526,0.5735,0.0378,249000167.8,248892839.7,-0.0004,1.0822,1.0831,0.0009,269467742.3,269586328,0.0004
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Cherries,4434858.932,7534298.571,0.6989,4.5956,4.5755,-0.0044,3693124.339,6292961.45,0.704,5.5186,5.4781,-0.0073,20380841.58,34473340.87,0.6915
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Coconuts,674172.1725,679061.5525,0.0073,2.0707,2.242,0.0827,555462.1404,555246.8225,-0.0004,2.5133,2.742,0.091,1396026.407,1522467.511,0.0906
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Dates,5010.8708,6129.1062,0.2232,8.0556,8.18,0.0154,7756.4402,9425.8255,0.2152,5.2041,5.319,0.0221,40365.385,50135.9086,0.2421
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Grapefruit,22858803.65,18354515.04,-0.197,1.1649,1.3949,0.1974,8950925.973,7256784.986,-0.1893,2.975,3.5281,0.1859,26628685.88,25602540.53,-0.0385
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Grapes,131285951.2,120208073.6,-0.0844,2.0446,2.3167,0.1331,70202304.85,62492370.24,-0.1098,3.8237,4.4563,0.1655,268430636.4,278486819.1,0.0375
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Kiwi,8347735.706,8577573.804,0.0275,2.313,2.6025,0.1251,7121915.144,6739157.291,-0.0537,2.7112,3.3124,0.2218,19308662.8,22322736.96,0.1561
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Lemons,35582973.43,37331374.68,0.0491,1.8903,1.9771,0.0459,38962404.54,40666508.89,0.0437,1.7263,1.815,0.0513,67262310.62,73808730.06,0.0973
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Limes,29180045.52,28537349.44,-0.022,1.5635,1.9171,0.2262,33529008.45,33954321.67,0.0127,1.3607,1.6113,0.1842,45622690.2,54709906.76,0.1992
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Mangoes,16113698.82,18053125.7,0.1204,1.7502,1.8313,0.0463,15751163.54,17617949.37,0.1185,1.7905,1.8765,0.0481,28201880.48,33060343.93,0.1723
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Melons,76077758.43,95444953.85,0.2546,1.3406,1.4583,0.0878,25546242.08,33959430.86,0.3293,3.9922,4.0987,0.0267,101986805.6,139189147.2,0.3648
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Nectarines,1930878.696,2012918.837,0.0425,2.5927,2.548,-0.0172,1376183.462,1367883.898,-0.006,3.6377,3.7496,0.0308,5006182.585,5129017.135,0.0245
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Oranges,117560933.3,123347193.5,0.0492,1.1683,1.302,0.1145,41824699.26,43883321.66,0.0492,3.2838,3.6597,0.1145,137342131.9,160601523.3,0.1694
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Other,2505039.394,3139862.294,0.2534,3.8326,4.0756,0.0634,2669932.199,3437878.935,0.2876,3.5959,3.7223,0.0352,9600709.144,12796814.8,0.3329
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Papaya,6027446.782,6251004.603,0.0371,1.3945,1.324,-0.0506,2645345.761,2894398.016,0.0941,3.1774,2.8594,-0.1001,8405329.864,8276225.941,-0.0154
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Peaches,2679236.571,2074697.507,-0.2256,2.6595,2.8304,0.0643,1941327.168,1520365.044,-0.2168,3.6703,3.8624,0.0523,7125345.372,5872198.825,-0.1759
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Pears,28100361.14,28952066.36,0.0303,1.6564,1.7677,0.0672,15708013.83,16423857.27,0.0456,2.9632,3.1161,0.0516,46545454.29,51178195.45,0.0995
Produce,Last 04 Wks,1,2021/01/31,2022/01/30,Total U.S.,Pineapple,55193343.52,54740604.4,-0.0082,1.1093,1.2877,0.1609,20391402.36,21784761.48,0.0683,3.0025,3.2358,0.0777,61224999.91,70490397.6,0.1513
