Report,Timeframe,Period,Prior Year Week Ending,Current Year Week Ending,Geography,Variety,Volume Prior Year,Volume Current Year,Volume Variance,Price per Volume Prior Year,Price per Volume Current Year,Price per Volume Variance,Units Prior Year,Units Current Year,Unit Variance,Price per Unit Prior Year,Price per Unit Current Year,Price per Unit Variance,Dollars Prior Year,Dollars Current Year,Dollar Variance
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Total Store with Perimeter,,,,,,,18436676904,18567194737,0.007079249,4.379298909,4.430991653,0.011803886,80739719046,82271084902,0.018966698
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Produce Department,3154632262,3214547546,0.018992795,1.945161269,1.950394212,0.002690236,2365446738,2381691486,0.006867518,2.59412668,2.6324295,0.014765208,6136268493,6269634929,0.021734127
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Vegetable Aisle,1538526027,1583210380,0.029043612,2.061467774,1.996062039,-0.03172775,1303493590,1321577362,0.013873312,2.433170251,2.391222966,-0.017239766,3171621825,3160186140,-0.003605627
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Fruit Aisle,1584939341,1600120715,0.00957852,1.804968892,1.874334189,0.03843019,1002911089,998176352.8,-0.004720993,2.852462436,3.004640367,0.05334967,2860766207,2999160963,0.048376814
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Blackberries,11686025.73,8542431.226,-0.269004585,6.555837976,8.149530394,0.24309515,25780867.79,19196258.52,-0.255406813,2.971649049,3.62658186,0.220393728,76611691.25,69616802.91,-0.091303145
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Blueberries,44716423.68,42673725.77,-0.045681156,4.673428873,6.033480993,0.291018042,55938405.52,53868183.26,-0.037008961,3.735877409,4.779650951,0.279391808,208979025.5,257471113.3,0.232042846
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Raspberries,11750343.33,11256708.03,-0.042010288,8.293753855,9.13734268,0.101713752,26175086.7,25667624.92,-0.019387205,3.723176028,4.007242549,0.076296828,97454455.33,102856398.7,0.05543044
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Strawberries,76672598.09,77734904.19,0.013855095,3.949788151,4.279743119,0.083537384,69404016.24,70267347.43,0.012439211,4.363443729,4.734566388,0.085052697,302840519.4,332685421.3,0.098549897
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Apples,203677517.1,214700783.2,0.054121173,1.924212733,1.756039716,-0.08739835,95819929.68,99918171.95,0.042770249,4.090160295,3.773318656,-0.077464357,391918871.9,377023102.3,-0.038007278
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Apricots,145942.5971,160427.0403,0.099247536,3.564426918,4.209125518,0.180870197,115953.1562,161426.512,0.392170056,4.486309287,4.183064732,-0.067593324,520201.7216,675257.5489,0.298068655
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Avocados,91302631.66,95129517.57,0.0419143,2.146947476,2.155670152,0.004062827,113502104.7,114823941.5,0.011645924,1.727033655,1.785932958,0.034104317,196021954.6,205067861.6,0.046147417
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Bananas,464307912.9,449804318.7,-0.031237017,0.589169073,0.608927981,0.033536907,250026983.1,247926232.6,-0.008402095,1.094105362,1.104757786,0.009736196,273555862.7,273898435.8,0.001252297
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Cherries,12337482.91,8471716.569,-0.313335092,4.388186551,5.003236885,0.14016048,10166041.43,7113395.446,-0.300278728,5.325492422,5.958617814,0.118885793,54139176.6,42386004.82,-0.217091809
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Coconuts,827645.7465,845668.7265,0.021776201,2.246072615,2.363108189,0.052106763,671489.6368,680704.5917,0.013723153,2.768400797,2.935791409,0.060464732,1858952.446,1998406.693,0.075017651
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Dates,4061.289513,3601.198214,-0.113286998,8.84502684,8.702967889,-0.016060884,5791.176117,5085.038462,-0.121933376,6.202922173,6.163397318,-0.006371973,35922.21475,31341.11242,-0.127528393
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Grapefruit,16035859.77,17119283.84,0.06756258,1.39667664,1.385909736,-0.007708946,6307413.656,6548218.632,0.038178085,3.550886618,3.623242209,0.020376767,22396910.75,23725782.14,0.059332799
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Grapes,132211530.4,142149243.9,0.075165256,2.378017546,2.467052883,0.037440993,72062226.97,77585905.02,0.076651504,4.362914556,4.520018189,0.036008872,314401339,350689701.9,0.11542051
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Kiwi,7626448.753,7343898.727,-0.037048702,3.020208654,3.256563721,0.07825786,6063542.791,5558145.54,-0.083350158,3.798681285,4.302851372,0.132722397,23033466.52,23915874.16,0.038309806
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Lemons,34494582.22,35198853.13,0.020416856,1.994159231,2.069436076,0.037748663,37046498.24,38188393.8,0.030823306,1.856793296,1.907432318,0.027272299,68787689.56,72841776.5,0.058936228
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Limes,28451812.76,30716003.64,0.079579846,1.821472304,1.885402449,0.035098061,36341979.86,37942652.31,0.044044723,1.426014464,1.526304172,0.070328675,51824188.93,57912028.5,0.117471005
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Mangoes,23183123.38,10404969.61,-0.551183443,1.680563171,2.675513926,0.59203413,22430048.04,10535622.64,-0.530289787,1.736987066,2.642334682,0.521217247,38960703.34,27838641.1,-0.285468723
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Melons,89514562.44,91657482.04,0.023939341,1.618300336,1.601305135,-0.010501883,32970218.22,32424683.41,-0.016546291,4.393706028,4.526539081,0.030232576,144861446.5,146771596.6,0.013186049
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Nectarines,2420779.796,1376999.918,-0.431175062,2.641438336,3.06583931,0.160670408,1652138.096,1022278.718,-0.381238941,3.870342661,4.129657012,0.06700036,6394340.556,4221660.477,-0.339781727
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Oranges,105896024.9,104620543,-0.012044663,1.339991934,1.394659944,0.040797268,37409087.64,38044141.25,0.016975918,3.793191124,3.835283853,0.011096918,141899819.2,145910080.6,0.028261216
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Other,3025828.275,3451965.29,0.140833179,4.040494392,4.227121476,0.04618917,2960453.887,3696887.912,0.248757134,4.129718835,3.947070336,-0.044227829,12225842.18,14591876.61,0.193527317
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Papaya,7308021.875,6668662.704,-0.087487309,1.365377772,1.364541609,-0.000612404,3420885.437,3192538.781,-0.066750746,2.916850274,2.850291997,-0.022818544,9978210.623,9099667.738,-0.088046136
Produce,Last 04 Wks,1,2023/01/29,2024/01/28,Total U.S.,Peaches,1962278.801,1438749.085,-0.266796805,2.886215432,3.183016448,0.102833979,1437446.175,1075735.097,-0.25163452,3.940014906,4.257146594,0.080489972,5663559.357,4579562.004,-0.191398604
